--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:23:8
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
Validation Loss Decreased(0.01113--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Epoch 500 		 Training Loss: 0.00960 		 Validation Loss: 0.01111
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Epoch 600 		 Training Loss: 0.00952 		 Validation Loss: 0.01096
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01086) 	 Saving The Model
Validation Loss Decreased(0.01086--->0.01086) 	 Saving The Model
Validation Loss Decreased(0.01086--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01084) 	 Saving The Model
Validation Loss Decreased(0.01084--->0.01084) 	 Saving The Model
Validation Loss Decreased(0.01084--->0.01084) 	 Saving The Model
Validation Loss Decreased(0.01084--->0.01083) 	 Saving The Model
Validation Loss Decreased(0.01083--->0.01083) 	 Saving The Model
Validation Loss Decreased(0.01083--->0.01082) 	 Saving The Model
Validation Loss Decreased(0.01082--->0.01082) 	 Saving The Model
Validation Loss Decreased(0.01082--->0.01081) 	 Saving The Model
Validation Loss Decreased(0.01081--->0.01081) 	 Saving The Model
Validation Loss Decreased(0.01081--->0.01080) 	 Saving The Model
Validation Loss Decreased(0.01080--->0.01080) 	 Saving The Model
Validation Loss Decreased(0.01080--->0.01079) 	 Saving The Model
Validation Loss Decreased(0.01079--->0.01079) 	 Saving The Model
Validation Loss Decreased(0.01079--->0.01078) 	 Saving The Model
Validation Loss Decreased(0.01078--->0.01078) 	 Saving The Model
Validation Loss Decreased(0.01078--->0.01077) 	 Saving The Model
Validation Loss Decreased(0.01077--->0.01076) 	 Saving The Model
Validation Loss Decreased(0.01076--->0.01076) 	 Saving The Model
Validation Loss Decreased(0.01076--->0.01075) 	 Saving The Model
Validation Loss Decreased(0.01075--->0.01074) 	 Saving The Model
Validation Loss Decreased(0.01074--->0.01073) 	 Saving The Model
Validation Loss Decreased(0.01073--->0.01073) 	 Saving The Model
Validation Loss Decreased(0.01073--->0.01072) 	 Saving The Model
Validation Loss Decreased(0.01072--->0.01071) 	 Saving The Model
Validation Loss Decreased(0.01071--->0.01070) 	 Saving The Model
Validation Loss Decreased(0.01070--->0.01069) 	 Saving The Model
Validation Loss Decreased(0.01069--->0.01068) 	 Saving The Model
Validation Loss Decreased(0.01068--->0.01067) 	 Saving The Model
Validation Loss Decreased(0.01067--->0.01066) 	 Saving The Model
Validation Loss Decreased(0.01066--->0.01065) 	 Saving The Model
Validation Loss Decreased(0.01065--->0.01064) 	 Saving The Model
Validation Loss Decreased(0.01064--->0.01063) 	 Saving The Model
Validation Loss Decreased(0.01063--->0.01062) 	 Saving The Model
Validation Loss Decreased(0.01062--->0.01061) 	 Saving The Model
Validation Loss Decreased(0.01061--->0.01059) 	 Saving The Model
Validation Loss Decreased(0.01059--->0.01058) 	 Saving The Model
Validation Loss Decreased(0.01058--->0.01057) 	 Saving The Model
Validation Loss Decreased(0.01057--->0.01055) 	 Saving The Model
Validation Loss Decreased(0.01055--->0.01054) 	 Saving The Model
Validation Loss Decreased(0.01054--->0.01053) 	 Saving The Model
Validation Loss Decreased(0.01053--->0.01051) 	 Saving The Model
Validation Loss Decreased(0.01051--->0.01050) 	 Saving The Model
Validation Loss Decreased(0.01050--->0.01048) 	 Saving The Model
Validation Loss Decreased(0.01048--->0.01047) 	 Saving The Model
Validation Loss Decreased(0.01047--->0.01045) 	 Saving The Model
Validation Loss Decreased(0.01045--->0.01044) 	 Saving The Model
Validation Loss Decreased(0.01044--->0.01043) 	 Saving The Model
Validation Loss Decreased(0.01043--->0.01041) 	 Saving The Model
Validation Loss Decreased(0.01041--->0.01040) 	 Saving The Model
Validation Loss Decreased(0.01040--->0.01039) 	 Saving The Model
Validation Loss Decreased(0.01039--->0.01038) 	 Saving The Model
Validation Loss Decreased(0.01038--->0.01037) 	 Saving The Model
Validation Loss Decreased(0.01037--->0.01036) 	 Saving The Model
Validation Loss Decreased(0.01036--->0.01035) 	 Saving The Model
Validation Loss Decreased(0.01035--->0.01034) 	 Saving The Model
Epoch 700 		 Training Loss: 0.00917 		 Validation Loss: 0.01034
Validation Loss Decreased(0.01034--->0.01034) 	 Saving The Model
Validation Loss Decreased(0.01034--->0.01033) 	 Saving The Model
Validation Loss Decreased(0.01033--->0.01033) 	 Saving The Model
Validation Loss Decreased(0.01033--->0.01033) 	 Saving The Model
Validation Loss Decreased(0.01033--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01032) 	 Saving The Model
Epoch 800 		 Training Loss: 0.00905 		 Validation Loss: 0.01035
Epoch 900 		 Training Loss: 0.00896 		 Validation Loss: 0.01039
Epoch 1000 		 Training Loss: 0.00878 		 Validation Loss: 0.01062
Epoch 1100 		 Training Loss: 0.00856 		 Validation Loss: 0.01097
Epoch 1200 		 Training Loss: 0.00802 		 Validation Loss: 0.01148
Epoch 1300 		 Training Loss: 0.00733 		 Validation Loss: 0.01187
Epoch 1400 		 Training Loss: 0.00689 		 Validation Loss: 0.01221
Epoch 1500 		 Training Loss: 0.00670 		 Validation Loss: 0.01284
Epoch 1600 		 Training Loss: 0.00634 		 Validation Loss: 0.01302
Epoch 1700 		 Training Loss: 0.00586 		 Validation Loss: 0.01342
Epoch 1800 		 Training Loss: 0.00546 		 Validation Loss: 0.01384
Epoch 1900 		 Training Loss: 0.00557 		 Validation Loss: 0.01454
Epoch 2000 		 Training Loss: 0.00454 		 Validation Loss: 0.01626
Epoch 2100 		 Training Loss: 0.00422 		 Validation Loss: 0.01713
Epoch 2200 		 Training Loss: 0.00397 		 Validation Loss: 0.01849
Epoch 2300 		 Training Loss: 0.00395 		 Validation Loss: 0.01856
Epoch 2400 		 Training Loss: 0.00340 		 Validation Loss: 0.01971
Epoch 2500 		 Training Loss: 0.00310 		 Validation Loss: 0.02066
Epoch 2600 		 Training Loss: 0.00300 		 Validation Loss: 0.02110
Epoch 2700 		 Training Loss: 0.00292 		 Validation Loss: 0.02216
Stopping the training early		Model saved
	Training Loss: 0.002882799133658409
	Validation Loss: 0.010317002423107624




RMSE of validation set: 6.042642455877615
RMSE of entire data set: 3.3319609111171644




